name_he,name_lat,source,source_id
מרגנית קטנה,Anagallis foemina,wildflowers,1145
תלתן הכפתורים,Trifolium cherleri,wildflowers,1147
ציפורנית צרפתית,Silene gallica,wildflowers,1149
ריבס המדבר,Rheum palaestinum,wildflowers,115
כוכבית מצויה,Stellaria media,wildflowers,1150
יינית בינונית,Oenanthe prolifera,wildflowers,1151
עצבונית החורש,Ruscus aculeatus,wildflowers,1152
פגונית סיני,Fagonia sinaica,wildflowers,1153
פגוניה ערבית,Fagonia arabica,wildflowers,1154
ארנבית שרועה,Arnebia decumbens,wildflowers,1155
חיעד ספרדי,Aizoon hispanicum,wildflowers,1156
רכפה ערבית,Reseda arabica,wildflowers,1157
פוקה קוצנית,Cenchrus echinatus,wildflowers,1158
קדד משולחף,Astragalus spinosus,wildflowers,116
עלקת נטויה,Orobanche cernua,wildflowers,1160
פרג נחות,Papaver humile,wildflowers,1161
זקן-תיש מדברי,Tragopogon collinus,wildflowers,1162
שמשון יושב,Helianthemum sessiliflorum,wildflowers,1163
פרג תרבותי,Papaver somniferum,wildflowers,1164
חלבלוב רמון,Euphorbia ramonensis,wildflowers,1165
נורית חרוקה,Ficaria ficarioides,wildflowers,1166
קדד הנגב,Astragalus amalecitanus,wildflowers,1167
תלתן דוקרני,Trifolium scabrum,wildflowers,1168
אספסת קטנה,Medicago minima,wildflowers,1169
צבעוני המדבר,Tulipa systola,wildflowers,117
פשתה צרת-עלים,Linum bienne,wildflowers,1170
איריס החרמון,Iris hermona,wildflowers,1172
תלתן קלוז,Trifolium clusii,wildflowers,1173
תלתן ארץ-ישראלי,Trifolium palaestinum,wildflowers,1174
מקור-חסידה תל-אביבי,Erodium telavivense,wildflowers,1175
גלניה שעירה,Galenia pubescens,wildflowers,1176
חלבלוב החוף,Euphorbia terracina,wildflowers,1177
עפעפית רבת-פרחים,Kickxia floribunda,wildflowers,1178
מרמר הנגב,Marrubium alyssum,wildflowers,1179
טופל אדום,Cynomorium coccineum,wildflowers,1180
מרבה-חלב מונפלייני,Polygala monspeliaca,wildflowers,1181
דרדר הערבות,Centaurea ammocyanus,wildflowers,1182
מוצית קטנת-פרחים,Gymnarrhena micrantha,wildflowers,1183
שמשון הנגב,Helianthemum ventosum,wildflowers,1184
ציפורנית מפושקת,Silene longipetala,wildflowers,1185
כתריים אדמדמים,Dipcadi erythraeum,wildflowers,1186
אפזרית מלוחה,Spergularia salina,wildflowers,1187
זמזומית אייג,Bellevalia eigii,wildflowers,1188
פשטה שרועה,Bacopa monnieri,wildflowers,1189
פיקוס השיקמה,Ficus sycomorus subsp. gnaphalocarpa,wildflowers,119
תלתן הכדורים,Trifolium pilulare,wildflowers,1190
אספסת משוזרת,Medicago ciliaris,wildflowers,1191
צללית הכילאיים,Minuartia hybrida,wildflowers,1192
קרנונית דביקה,Cerastium glomeratum,wildflowers,1193
דושן שעיר,Bidens pilosa,wildflowers,1194
חלמית קטנת-פרחים,Malva parviflora,wildflowers,1195
קערורית סגולה,Scutellaria subvelutina,wildflowers,1196
דבקה משולשת,Galium tricornutum,wildflowers,1197
לחך אזמלני,Plantago lanceolata,wildflowers,1198
תלתן הקצף,Trifolium spumosum,wildflowers,1199
חבלבל השיח,Convolvulus dorycnium,wildflowers,12
אנקון פגיוני,Anchonium billardierei,wildflowers,120
