source_id,name_he,category,price,url
דרצנה-מסנגנה,דרצנה מסנג'נה,צמחים-לבית-ולמשרד,115.0,https://azurflowers.co.il/חנות/צמחים-לבית-ולמשרד/דרצנה-מסנגנה/
דרצנה-מרגינטה-טריקולור,דרצנה מרגינטה טריקולור,צמחים-לבית-ולמשרד,50.0,https://azurflowers.co.il/חנות/צמחים-לבית-ולמשרד/דרצנה-מרגינטה-טריקולור/
דרצנה-מרגינטה,דרצנה מרגינטה,צמחים-לבית-ולמשרד,105.0,https://azurflowers.co.il/חנות/צמחים-לבית-ולמשרד/דרצנה-מרגינטה/
דרצנה-עציץ-18-סמ,"דרצנה - עציץ 18 ס""מ",צמחים-לבית-ולמשרד,165.0,https://azurflowers.co.il/חנות/צמחים-לבית-ולמשרד/דרצנה-עציץ-18-סמ/
דשא-יפני-זויסיה,דשא יפני (זויסיה),צמחים-למרפסת-ולגינה,49.0,https://azurflowers.co.il/חנות/צמחים-למרפסת-ולגינה/דשא-יפני-זויסיה/
הדס-מעוצב-עציץ-18-סמ,הדס מעוצב,צמחים-למרפסת-ולגינה,99.0,https://azurflowers.co.il/חנות/צמחים-למרפסת-ולגינה/הדס-מעוצב-עציץ-18-סמ/
הדס-עציץ-18-סמ,"הדס - עציץ 18 ס""מ",צמחים-למרפסת-ולגינה,53.0,https://azurflowers.co.il/חנות/צמחים-למרפסת-ולגינה/הדס-עציץ-18-סמ/
הוורטיה-זברה-בכלי-קרמיקה,הוורטיה זברה בכלי קרמיקה,צמחים-לבית-ולמשרד,100.0,https://azurflowers.co.il/חנות/צמחים-לבית-ולמשרד/הוורטיה-זברה-בכלי-קרמיקה/
הוורטיה-זברה-בעציץ-בינוני,הוורטיה זברה בעציץ בינוני,צמחים-לבית-ולמשרד,55.0,https://azurflowers.co.il/חנות/צמחים-לבית-ולמשרד/הוורטיה-זברה-בעציץ-בינוני/
הוורטיה-זברה,הוורטיה זברה,צמחים-לבית-ולמשרד,45.0,https://azurflowers.co.il/חנות/צמחים-לבית-ולמשרד/הוורטיה-זברה/
הורטנזיה,הורטנזיה (הידרנג'אה),צמחים-לבית-ולמשרד,,https://azurflowers.co.il/חנות/צמחים-לבית-ולמשרד/הורטנזיה/
היביסקוס-סורי,היביסקוס סורי,צמחים-למרפסת-ולגינה,49.0,https://azurflowers.co.il/חנות/צמחים-למרפסת-ולגינה/היביסקוס-סורי/
היביסקוס-סיני,היביסקוס סיני,צמחים-למרפסת-ולגינה,56.0,https://azurflowers.co.il/חנות/צמחים-למרפסת-ולגינה/היביסקוס-סיני/
היפואסטס-אדום-בכלי-חרס-חום,היפואסטס בכלי חרס חום,צמחים-לבית-ולמשרד,60.0,https://azurflowers.co.il/חנות/צמחים-לבית-ולמשרד/היפואסטס-אדום-בכלי-חרס-חום/
היפואסטס,היפואסטס (ברוד משובל),צמחים-למרפסת-ולגינה,22.0,https://azurflowers.co.il/חנות/צמחים-למרפסת-ולגינה/היפואסטס/
הלקסינה-דמעות-תינוק,הלקסינה (דמעות תינוק),צמחים-לבית-ולמשרד,95.0,https://azurflowers.co.il/חנות/צמחים-לבית-ולמשרד/הלקסינה-דמעות-תינוק/
